"","SYMBOL","ID","logFC","P.Value"
"8023528","ALPK2","8023528",1.88037766647562,0.0000280920670839721
"8148280","SQLE","8148280",1.61750452615485,0.0152031886230905
"7992828","IL32","7992828",1.61193253823234,0.0000504766546919461
"8135069","SERPINE1","8135069",1.55645772299896,0.000238192950508032
"7946033","HBB","7946033",1.55616855972248,0.000180302282632444
"7892982",NA,"7892982",1.50898040159271,0.00570303766608205
"7991762",NA,"7991762",1.46122336864122,0.000101558832818375
"7991766",NA,"7991766",1.46122336864122,0.000101558832818375
"7979658","GPX2","7979658",1.45015132852382,0.00206262770155508
"7913216","PLA2G2A","7913216",1.42088799757669,0.0415740762393058
"7892732",NA,"7892732",1.36079730747822,0.011801802482996
"7945169","TMEM45B","7945169",1.35554941587851,0.000362189821930524
"8103226","TMEM154","8103226",1.35409303638494,0.00380003796637844
"8020827","MEP1B","8020827",1.28893141440648,0.00646268262120366
"8162117","GOLM1","8162117",1.27342812705121,0.000188487320284683
"7956426","INHBE","7956426",1.23718166720686,0.000279607386652794
"7921449","CRP","7921449",1.22058288488549,0.0729027129477706
"8104079","FAT1","8104079",1.18071470700114,0.0000271808681559978
"8041763","PRKCE","8041763",1.15978431101877,0.00228361448250116
"8021043",NA,"8021043",1.14987629610907,0.0598881712215201
"7895151",NA,"7895151",1.12739020737953,0.0119101489078404
"8169836","XPNPEP2","8169836",1.11592168666098,0.294838490119862
"8031931",NA,"8031931",1.10675158496187,0.0989962749330197
"8005547",NA,"8005547",1.09683656552197,0.00852937354333214
"8005553",NA,"8005553",1.09683656552197,0.00852937354333214
"8013323",NA,"8013323",1.09683656552197,0.00852937354333214
"8013325",NA,"8013325",1.09683656552197,0.00852937354333214
"8013329",NA,"8013329",1.09683656552197,0.00852937354333214
"8119088","CDKN1A","8119088",1.07106031615829,0.000000718551131255692
"8002492",NA,"8002492",1.06362222557878,0.0882444442167129
"8096301","SPP1","8096301",1.06205391025679,0.00323581547466454
"8004266",NA,"8004266",1.06192631984134,0.000122176878094547
"8146429","NPBWR1","8146429",1.06033534684706,0.0118637752499364
"7923547","CHI3L1","7923547",1.04816161652563,0.0760582469347498
"7921492","IGSF9","7921492",1.03229730961764,0.000283190282678106
"7900365","MFSD2A","7900365",1.03113872070294,0.00968793066434001
"8002470",NA,"8002470",1.00067810496152,0.0964188779843193
"7972932","GAS6-AS1","7972932",0.997862635944891,0.000731878053968071
"8033818","OLFM2","8033818",0.994254974790625,0.055657991781741
"8161270",NA,"8161270",0.989506907171624,0.00252062345043091
"7957221","TRHDE","7957221",0.982480774594103,0.0248449999692243
"8111941","HMGCS1","8111941",0.965791326311255,0.0601225055680063
"8014704",NA,"8014704",0.95548893136991,0.154839796224479
"8095500","OPRPN","8095500",0.95034317151785,0.0227365823246403
"7965686","ANKS1B","7965686",0.949494906305356,0.00286186935875589
"8002446","HYDIN","8002446",0.934295285699347,0.153132001428143
"8022666","CHST9","8022666",0.932825410778714,0.00445666566986621
"7928107","MACROH2A2","7928107",0.931590537001409,0.00000443574240220788
"7894937",NA,"7894937",0.930561712253214,0.0318713417387122
"7947421",NA,"7947421",0.929349086422075,0.00292785954620199
"7895908",NA,"7895908",0.927726568193563,0.00609388182843577
"8133688","SNORA14A","8133688",0.897478350301741,0.138840419286396
