node1,node2,entropy_n1,entropy_n2,n1_n2_avg
1,4,0.0797068287580708,0.9905713441655957,0.5351390864618333
1,3,0.0797068287580708,6.072682583601783e-33,0.0398534143790354
2,3,6.072682583601783e-33,6.072682583601783e-33,6.072682583601783e-33
1,2,0.0797068287580708,6.072682583601783e-33,0.0398534143790354
4,6,0.9905713441655957,0.9206792191096642,0.9556252816376299
5,6,0.6130082536274707,0.9206792191096642,0.7668437363685674
4,5,0.9905713441655957,0.6130082536274707,0.8017897988965332
5,8,0.6130082536274707,2.2770846437699587e-11,0.3065041268251208
7,8,2.27708464376996e-11,2.2770846437699587e-11,2.2770846437699593e-11
5,7,0.6130082536274707,2.27708464376996e-11,0.3065041268251208
7,9,2.27708464376996e-11,4.109654069347734e-175,1.13854232188498e-11
8,9,2.2770846437699587e-11,4.109654069347734e-175,1.1385423218849793e-11
