"","SYMBOL","ID","logFC","P.Value"
"224588_at","XIST","224588_at",5.0865556593206,0.0493858446661722
"227671_at","XIST","227671_at",4.94888799600046,0.0598378961039993
"228582_x_at","MALAT1","228582_x_at",4.39030415389125,0.0114380514522623
"224590_at","XIST","224590_at",3.78130332912076,0.0672368035228321
"227510_x_at","MALAT1","227510_x_at",3.63894749881461,0.0338521898250237
"214218_s_at","XIST","214218_s_at",3.05726081446973,0.0706711148720145
"221728_x_at","XIST","221728_x_at",2.6841966154791,0.119256388262174
"224559_at","MALAT1","224559_at",2.03847356505575,0.00192088713904676
"208727_s_at","CDC42","208727_s_at",1.6981071388089,0.0207593534362211
"213742_at","SRSF11","213742_at",1.6595383559864,0.0253295825863362
"230180_at","DDX17","230180_at",1.60207533103048,0.0434582338835855
"222679_s_at","DCUN1D1","222679_s_at",1.58376508680401,0.0157871445604338
"231735_s_at","MALAT1","231735_s_at",1.56378809614684,0.0550488841502697
"201123_s_at","EIF5A","201123_s_at",1.54105985149535,0.0718523592854292
"210356_x_at","MS4A1","210356_x_at",1.51585461030067,0.0146791081471187
"210172_at","SF1","210172_at",1.51224015475575,0.0180651576131608
"231235_at","NKTR","231235_at",1.50770721638227,0.0111675513481754
"209840_s_at","LRRN3","209840_s_at",1.50266388250016,0.0777401887781143
"243751_at","CHD2","243751_at",1.48408275903916,0.0101602543896917
"223577_x_at","MALAT1","223577_x_at",1.47706456137908,0.0959488156030329
"1553186_x_at","RASEF","1553186_x_at",1.47493946043794,0.144391353976644
"232392_at","SRSF3","232392_at",1.46157582942058,0.0474370773467238
"1553185_at","RASEF","1553185_at",1.45559877623142,0.1259916362311
"224321_at","TMEFF2","224321_at",1.44896702206809,0.144429927047973
"209995_s_at","TCL1A","209995_s_at",1.43355517679796,0.0172648062995618
"214250_at","NUMA1","214250_at",1.41305993737464,0.0298256520091468
"230543_at","USP9X","230543_at",1.40164916562293,0.174574264944009
"1562836_at","DDX6","1562836_at",1.3970913785677,0.140616874783356
"210800_at","TIMM8A","210800_at",1.3885940453925,0.146968592319577
"235547_at","N4BP2L2","235547_at",1.37771176413543,0.0474590854487588
"238635_at","TMEM267","238635_at",1.37457683223253,0.0180840254201619
"1555643_s_at","LILRA5","1555643_s_at",1.36479926662265,0.0323226071794371
"215838_at","LILRA5","215838_at",1.36385591601213,0.0336415857103789
"230245_s_at","LINC00926","230245_s_at",1.33923483480054,0.023833624793087
"226085_at","CBX5","226085_at",1.33871060661622,0.0113622556961363
"230058_at","ENTR1","230058_at",1.33199241847402,0.00535754441902259
"1552480_s_at","PTPRC","1552480_s_at",1.32964346041931,0.0419480467384545
"244508_at","SEPTIN7","244508_at",1.32666655712006,0.000986088850891371
"216527_at","HCG18","216527_at",1.30303066995311,0.0196781301941128
