pathway_name,gene_symbol
REACTOME_SYNTHESIS_OF_GDP_MANNOSE,"['PMM1', 'PMM2', 'GMPPA', 'GMPPB', 'MPI']"
BIOCARTA_CDC25_PATHWAY,['CALM1']
REACTOME_REGULATION_OF_PTEN_MRNA_TRANSLATION,"['TNRC6C', 'TNRC6A', 'AGO1', 'TNRC6B', 'AGO2', 'AGO3', 'AGO4', 'MOV10', 'PTEN']"
REACTOME_INFLUENZA_INFECTION,['CALM1']
PID_CASPASE_PATHWAY,['CALM1']
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE,['CALM1']
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,['CALM1']
PID_IL8_CXCR2_PATHWAY,['CALM1']
REACTOME_GLUCONEOGENESIS,['CALM1']
REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS,['CALM1']
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE,['CALM1']
REACTOME_FORMATION_OF_XYLULOSE_5_PHOSPHATE,['CALM1']
BIOCARTA_GH_PATHWAY,['CALM1']
REACTOME_REGULATION_OF_APOPTOSIS,['CALM1']
REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES,['CALM1']
REACTOME_IRON_UPTAKE_AND_TRANSPORT,['CALM1']
BIOCARTA_BCELLSURVIVAL_PATHWAY,['CALM1']
REACTOME_G_PROTEIN_BETA:GAMMA_SIGNALLING,['CALM1']
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,['CALM1']
REACTOME_INWARDLY_RECTIFYING_KPLUS_CHANNELS,['CALM1']
PID_ERBB1_DOWNSTREAM_PATHWAY,['CALM1']
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,['CALM1']
KEGG_ERBB_SIGNALING_PATHWAY,['CALM1']
REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,['CALM1']
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY,['CALM1']
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1,['CALM1']
REACTOME_SIGNAL_ATTENUATION,"['MAPK1', 'MAPK3', 'GRB10', 'SOS1', 'SHC1', 'IRS1', 'INSR', 'GRB2', 'IRS2', 'INS']"
REACTOME_ESR_MEDIATED_SIGNALING,['CALM1']
BIOCARTA_PDGF_PATHWAY,['CALM1']
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION,['CALM1']
REACTOME_RNF_MUTANTS_SHOW_ENHANCED_WNT_SIGNALING_AND_PROLIFERATION,"['LRP6', 'RNF43', 'WNT3A', 'LRP5', 'FZD5', 'FZD6', 'FZD4', 'FZD8']"
REACTOME_SUMO_IS_CONJUGATED_TO_E1_UBA2:SAE1,['CALM1']
REACTOME_LYSINE_CATABOLISM,['CALM1']
REACTOME_SIGNALING_BY_NODAL,['CALM1']
REACTOME_VLDLR_INTERNALISATION_AND_DEGRADATION,['CALM1']
BIOCARTA_NUCLEARRS_PATHWAY,['CALM1']
REACTOME_HDACS_DEACETYLATE_HISTONES,['CALM1']
BIOCARTA_LYMPHOCYTE_PATHWAY,"['SELE', 'ITGAL', 'ITGB2', 'PECAM1', 'ITGA4', 'CD44', 'ICAM1', 'ITGB1', 'SELL']"
PID_TCR_RAS_PATHWAY,['CALM1']
KEGG_PRION_DISEASES,['CALM1']
PID_PDGFRA_PATHWAY,['CALM1']
BIOCARTA_PLATELETAPP_PATHWAY,['CALM1']
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,['CALM1']
REACTOME_VLDL_ASSEMBLY,['CALM1']
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_DEATH_RECEPTORS_AND_LIGANDS,"['FAS', 'TP63', 'TP73', 'PPP1R13B', 'TNFRSF10A', 'TNFRSF10B', 'TP53', 'TP53BP2', 'IGFBP3', 'TMEM219', 'TNFRSF10D', 'TNFRSF10C']"
REACTOME_NEF_MEDIATED_CD4_DOWN_REGULATION,['CALM1']
