"","seqnames","start","end","width","strand","no.cpgs","min_smoothed_fdr","Stouffer","HMFDR","Fisher","maxdiff","meandiff","overlapping.genes"
"1","chr11",94277826,94279068,1243,"*",11,8.69539097671657e-22,9.67947247103348e-09,0.0289832181861874,5.46764470234703e-07,-0.0307512489797348,-0.0177335630538968,"PIWIL4, FUT4, RP11-867G2.8"
"2","chr6",30859707,30860887,1181,"*",15,1.35908538798971e-21,1.045178073919e-05,0.0282170458869015,1.07693103432157e-05,-0.0377711378775398,-0.0155412026608188,"DDR1, SNORA20"
"3","chr6",33281449,33283990,2542,"*",61,2.08411371699891e-46,0.000604734536699662,0.0744078540536417,1.28026148818259e-05,-0.0266290904177545,-0.00562359391046674,"SNORA38, TAPBP, ZBTB22, SNORA20"
"4","chr6",31538984,31540750,1767,"*",20,2.40442574996264e-19,4.6237636272978e-08,0.0955227619159403,1.34884410259396e-05,0.0296713238100456,0.0160867701261928,"LTA, SNORA20"
"5","chr17",79798629,79799549,921,"*",6,6.56519452035982e-13,1.09799952112842e-06,0.0253142615141863,1.78491376713932e-05,-0.0252710698260593,-0.0215360220384489,"SNORA69"
"6","chr6",30296689,30297941,1253,"*",14,8.42684953347755e-21,3.22977531842324e-05,0.0418542325559305,2.04013211430522e-05,-0.0393027200323327,-0.0230379165726023,"TRIM39, TRIM39-RPP21, SNORA20"
"7","chr11",10476242,10477847,1606,"*",11,3.89071359916556e-15,2.60194495495622e-06,0.0449052219134025,2.3545153486594e-05,-0.0278765126523327,-0.00856108420018281,"LSP1, AMPD3"
"8","chr11",64107720,64109823,2104,"*",9,2.01742814044643e-14,1.1886441844844e-05,0.028377929852306,3.30250200071322e-05,-0.0347993266449558,-0.0137417620377218,"CCDC88B, SNORD43"
"9","chr20",3065343,3066014,672,"*",8,7.27150258153831e-15,2.94325080024915e-06,0.0316312273287174,3.3513646824492e-05,-0.0182003475328776,-0.0148905366406702,"AVP"
"10","chr1",156570825,156571598,774,"*",12,6.23695556654635e-17,4.21680009854272e-06,0.0300926986360116,4.07726143156945e-05,0.0100440444715255,0.00477853269083243,"snoU13, Y_RNA, SCARNA16, SNORD112, SNORA63, U3, SNORA51, SNORA25, SNORD59, SCARNA20, SNORA67, U6, SNORA70, SNORA77, SNORA26, SNORA72, U8, SNORA31, SNORA40, GPATCH4, SNORD64, ACA64, SNORD78, snoU109, SNORD60, SNORD116"
"11","chr11",67051977,67052992,1016,"*",5,9.18483778352770e-12,3.96985633735282e-06,0.0225836637655575,4.12424660660166e-05,-0.033892379251081,-0.0263605906776992,"ADRBK1, SNORD43"
"12","chr17",1548881,1549896,1016,"*",8,3.50556472195013e-13,1.22735126833859e-05,0.0304567420114463,5.50568261681402e-05,-0.02185628773394,-0.0154837144568986,"SCARF1, RILP"
"13","chr22",30476089,30476525,437,"*",11,3.38007023823863e-15,5.25413265194332e-06,0.0486466122812115,5.73655747841378e-05,-0.0256333194238112,-0.0175446917197806,"HORMAD2, CTA-85E5.10"
"14","chr16",4729905,4730657,753,"*",5,2.84718912505294e-12,6.66924673529773e-06,0.02140575450257,5.97857047820043e-05,-0.0376036854702966,-0.0288560097130926,"MGRN1"
"15","chr9",139871049,139872839,1791,"*",6,4.49226634659747e-11,1.1677396489215e-05,0.0234782202911373,6.45891541433648e-05,-0.0289197868055848,-0.0146434909385578,"RP11-229P13.19, PTGDS"
"16","chr7",100463206,100466241,3036,"*",16,2.06409306599678e-10,2.42967597665051e-05,0.0543232726049936,6.71028502208449e-05,-0.0234640721542854,-0.0155118531170823,"SLC12A9, TRIP6"
"17","chr7",2772710,2774654,1945,"*",10,9.04814972318613e-10,2.29130857891069e-06,0.0532442743094551,6.72899894662805e-05,-0.0295693133050806,-0.018451433124116,"AMZ1, GNA12"
"18","chr11",67069814,67071885,2072,"*",15,1.92669955834422e-12,8.19682138535997e-06,0.0707375073319578,8.69132643122294e-05,-0.0308463525886291,-0.018734272138585,"ANKRD13D, SSH3, SNORD43"
"19","chr19",827429,828170,742,"*",8,3.69574473011461e-13,5.77441957572112e-06,0.0393092785542796,0.000102918427476152,-0.0318413888764918,-0.0185736722762024,"AZU1"
"20","chr5",90679134,90679543,410,"*",10,5.05764127887076e-14,2.10995419928536e-05,0.0409566828616726,0.000104991488218571,0.0226236378811719,0.00863675340360531,"snoZ6, SNORA27, SNORA68, SNORA57, 7SK, ARRDC3, SNORD45, SNORD95"
"21","chr16",88589918,88590409,492,"*",5,6.03334629574892e-12,1.75286163539328e-05,0.0196109037691455,0.000109334573614796,-0.0210338370234919,-0.0174253662272765,"ZFPM1, RP11-21B21.4"
"22","chr13",113633379,113634042,664,"*",8,3.52775890849286e-15,0.000122046134853574,0.0214929719692265,0.000124887188920524,-0.0279947647174538,-0.0144905037270155,"SNORD36, MCF2L"
"23","chr19",5074224,5074758,535,"*",4,4.86037193766446e-11,2.71111745878195e-05,0.0148775121810541,0.000137631846130778,-0.0277359318760813,-0.0187853170798204,"KDM4B"
"24","chr7",2646259,2648343,2085,"*",12,7.19027743373421e-11,4.11251468407167e-06,0.0660534661939976,0.000155903128749126,-0.0288962224417379,-0.0169325272422088,"IQCE"
"25","chr15",90543224,90543813,590,"*",5,3.56278646657679e-11,2.54585636281297e-05,0.0159227740256863,0.000159222598860914,-0.0339263361497142,-0.0201784591477675,NA
"26","chr7",5534951,5535934,984,"*",12,2.84930617752329e-17,0.000144814998467489,0.0446319717612599,0.000179626272471188,-0.0199095090452061,-0.0117080059200188,"FBXL18, MIR589"
"27","chr5",176734343,176734858,516,"*",4,4.27523590513322e-10,3.41165670830336e-05,0.0182287516139244,0.000180735853782868,-0.0284416725473637,-0.0243861051644981,"MXD3, SNORD95"
"28","chr6",30458586,30460798,2213,"*",16,1.80835724314778e-13,2.56541947953955e-05,0.0582146743333013,0.000188428387745183,0.0220858468940337,0.015201094155727,"HLA-E, SNORA20"
"29","chr14",24867164,24868164,1001,"*",6,1.06686357491464e-12,0.00010074886009194,0.0223482395477159,0.000193519057454792,-0.0249860989031054,-0.01739318112815,"NYNRIN, SNORA79"
"30","chr10",6185502,6186542,1041,"*",4,7.38611736388624e-15,0.000181865820994211,0.0021871985384814,0.000195333107138973,-0.0388385288303208,-0.0181745470458805,NA
"31","chr1",59280290,59281383,1094,"*",8,1.81576126942538e-14,7.6353968883676e-05,0.0213852009324062,0.000199351975916618,-0.0309255697836334,-0.0109201144849225,"snoU13, Y_RNA, SCARNA16, U1, SCARNA18, SCARNA24, SNORD112, SNORA62, SNORA63, SNORD46, LINC01135, SNORA2, SNORD81, U3, SNORA51, SNORA25, SNORA58, SCARNA20, SNORA67, U6, SNORA70, SNORA77, SNORA26, U8, SCARNA11, SNORA31, SNORA42, SNORA40, SNORD64, ACA64, SNORD78, snoU109, SNORD60, SNORD116"
"32","chr1",203733971,203734559,589,"*",6,9.16380920739231e-11,1.74521053302468e-05,0.0414677604546362,0.000201412534456264,0.02907449055758,0.0248001951866993,"snoU13, Y_RNA, SNORD112, U3, SNORA51, SNORA25, SCARNA20, SNORA70, LAX1, SNORA26, SNORA72, U8, SNORD60, SNORD116"
"33","chr1",42383598,42385160,1563,"*",11,7.00639768599373e-16,3.40484285333887e-05,0.0376431091630718,0.000202756293653571,-0.051442421975855,-0.0247224682162634,"snoU13, Y_RNA, SCARNA16, U1, SCARNA17, SCARNA18, SCARNA24, SNORD112, SNORA62, SNORA63, SNORD46, SNORA2, SNORD81, U3, SNORA51, SNORA25, SCARNA20, SNORA67, U6, SNORA70, SNORA77, SNORA26, U8, SCARNA11, HIVEP3, SNORA31, SNORA42, SNORA40, SNORD64, ACA64, snoU109, SNORD60, SNORD116"
"34","chr17",79880822,79882042,1221,"*",8,9.79229747606902e-14,8.76764587040919e-05,0.0364076239785885,0.000213662808071146,-0.0296174514202263,-0.0214244816153857,"SNORA69, RP11-498C9.12, MAFG"
"35","chr11",69259247,69260271,1025,"*",8,1.81720701336963e-12,0.000278268856417304,0.0468427238372089,0.000228547092974469,-0.0352799941047872,-0.0225113529648273,"AP000439.2, SNORD43"
"36","chr17",3704471,3704621,151,"*",6,4.28339975333395e-11,2.28000330174244e-05,0.0393818162730134,0.000233947955951931,-0.0362884770741588,-0.0272991673562111,"ITGAE"
